created_at,full_text,sentiment,compound
Mon Jun 09 14:45:04 +0000 2025,"The riots in Los Angeles prove that we desperately need more immigration enforcement personnel and resources.  America must reverse the invasion unleashed by Joe Biden of millions of unvetted illegal aliens into our country.   That’s why President Trump’s One Big, Beautiful Bill…",negative,-0.6808
Mon Jun 09 09:14:01 +0000 2025,"Just so we are clear, this FBI needs no one’s permission to enforce the constitution. My responsibility is to the American people, not political punch lines. LA is under siege by marauding criminals, and we will restore law and order. I’m not asking you, I’m telling you.",negative,-0.2111
Mon Jun 09 02:45:33 +0000 2025,Stand with ICE. Pass the BBB.,neutral,0.0
Mon Jun 09 02:44:52 +0000 2025,This moment calls for decisive leadership. The president will not tolerate rioting and violence.,negative,-0.4939
Mon Jun 09 00:58:46 +0000 2025,"The FBI is offering a reward of up to $50,000 for information leading to the identification, arrest, and conviction of this unknown suspect.  📞 1-800-CALL-FBI (1-800-225-5324) 💻",neutral,0.0258
Mon Jun 09 00:46:33 +0000 2025,"Bernard Kerik was a hero, a patriot, and a champion of law and order. He dedicated his life to protecting our country with strength, loyalty, and unwavering resolve. We send our condolences to his family and all who loved him.  MAGA lost a true warrior. May Bernie rest in peace.",positive,0.9812
Mon Jun 09 00:46:27 +0000 2025,President Trump’s historic Big Beautiful Bill is key to unleashing abundant American energy and economic opportunities throughout Alaska and across the USA.   Just authored this joint op-ed with @SecretaryWright @SecretaryBurgum in Anchorage Daily News.,positive,0.8225
Mon Jun 09 00:46:24 +0000 2025,"At HHS, we are committed to making the United States the global leader in biotechnology innovation, finding new ways of accelerating drug approvals to cure rare diseases.",positive,0.7579
Mon Jun 09 00:46:18 +0000 2025,A kilowatt of electricity has never been more valuable! For the first time in human history you can convert electricity into intelligence through AI data centers.,positive,0.1584
Mon Jun 09 00:46:14 +0000 2025,"Our law enforcement officers are just doing their jobs.  Violence and intimidation against federal law enforcement will be prosecuted to the fullest extent of the law.  The United States is a nation of laws, and lawbreakers will be brought to justice.",negative,-0.5106
Mon Jun 09 00:46:10 +0000 2025,"If you choose violence tonight, this message is for you.  We will be investigating and pursuing all available leads for assault on a federal officer, in addition to the many arrests already made. And, although we’ll pursue every case, we don’t need to catch every single perp, we…",negative,-0.8957
Mon Jun 09 00:46:06 +0000 2025,“Peaceful protest.”   Call it what it is: a violent riot.,negative,-0.8176
Mon Jun 09 00:45:57 +0000 2025,Order will be restored!,positive,0.4003
Mon Jun 09 00:45:53 +0000 2025,It is SICKENING that Mayor Bass continues to protect violent rioters and criminal illegal aliens at the expense of the safety of American citizens and communities.  @POTUS Trump and @Sec_Noem will restore Law and Order to Los Angeles if its leaders won’t.,negative,-0.8567
Mon Jun 09 00:45:50 +0000 2025,.@POTUS' One Big Beautiful Bill is the ultimate America First legislation and marks the start of a new American Golden Age!  Here’s what it means for you:,positive,0.636
Mon Jun 09 00:45:45 +0000 2025,"More unused phone lines!  @USGSA saved ~$800k/year by eliminating ~1,700 unused plans, switching plans for many of the remaining ones, and eliminating 2,218 unused cellular equipment payments.  @SBA reduced its VOIP licenses from 9,195 to 2,690, eliminating 6,505…",positive,0.4753
Mon Jun 09 00:45:37 +0000 2025,"The @USCG recently delivered a powerful blow to drug trafficking networks, seizing over $6.2 million worth of illicit drugs in the Caribbean Sea. This operation underscores our unwavering resolve to dismantle drug syndicates and protect our nation.",positive,0.836
Mon Jun 09 00:45:32 +0000 2025,"On June 7, 2025, ICE Los Angeles administratively arrested Rolando VENERACION-Enriquez, 55, a citizen of the Philippines. VENERACION-Enriquez has a criminal history that includes convictions for Theft, Assault, Burglary, and Rape.",negative,-0.9432
Mon Jun 09 00:45:31 +0000 2025,"On June 7, 2025, ICE Los Angeles administratively arrested Cuong Chanh PHAN, 49, a citizen of Vietnam.  PHAN has a criminal history that includes a conviction for Second Degree Murder and sentenced to 15 Years to Life.",negative,-0.9062
Mon Jun 09 00:45:29 +0000 2025,"America’s brave ICE officers are removing the worst of the worst from LA’s streets, while LA’s leaders are working tirelessly against them.  🧵Here are just a few removed from the community yesterday.",negative,-0.7003
Mon Jun 09 00:44:52 +0000 2025,Help us find him.,positive,0.4019
Mon Jun 09 00:44:41 +0000 2025,".@POTUS: ""If we see danger to our country and to our citizens, we'll be very, very strong in terms of LAW AND ORDER.""",positive,0.1208
Sun Jun 08 23:52:46 +0000 2025,"Bernard Kerik was a hero, a patriot, and a champion of law and order. He dedicated his life to protecting our country with strength, loyalty, and unwavering resolve. We send our condolences to his family and all who loved him.  MAGA lost a true warrior. May Bernie rest in peace.",positive,0.9812
Sun Jun 08 15:32:40 +0000 2025,President Donald J. Trump at @UFC 316 🇺🇸🦅 @DanaWhite,neutral,0.0
Sun Jun 08 15:32:38 +0000 2025,President Donald J. Trump at @UFC 316 🇺🇸🦅 @DanaWhite,neutral,0.0
Sun Jun 08 15:32:36 +0000 2025,President Donald J. Trump at @UFC 316 🇺🇸🦅 @DanaWhite,neutral,0.0
Sun Jun 08 15:32:33 +0000 2025,President Donald J. Trump at @UFC 316 🇺🇸🦅 @DanaWhite,neutral,0.0
Sun Jun 08 15:32:32 +0000 2025,President Donald J. Trump at @UFC 316 🇺🇸🦅 @DanaWhite,neutral,0.0
Sun Jun 08 15:32:30 +0000 2025,President Donald J. Trump at @UFC 316 🇺🇸🦅 @DanaWhite,neutral,0.0
Sun Jun 08 15:32:29 +0000 2025,President Donald J. Trump at @UFC 316 🇺🇸🦅 @DanaWhite,neutral,0.0
Sun Jun 08 15:17:15 +0000 2025,President Donald J. Trump X @MikeTyson 🔥,neutral,0.0
Sun Jun 08 14:12:25 +0000 2025,LAW AND ORDER,neutral,0.0
Sun Jun 08 12:34:33 +0000 2025,CHAMPIONS 🇺🇸,positive,0.6289
Sun Jun 08 03:34:41 +0000 2025,God bless the brave men and women of local and federal law enforcement and the National Guard working to restore LAW AND ORDER to Los Angeles.  WE STAND WITH YOU—AND THE CHAOS ENDS NOW. 🇺🇸,positive,0.6208
Sun Jun 08 03:00:18 +0000 2025,"Illegal criminal aliens and violent mobs have been committing arson, throwing rocks at vehicles, and attacking federal law enforcement for days.   Gavin Newsom has done nothing to stop this violence.   He should be thanking President Trump for bringing law and order to California…",negative,-0.9558
Sun Jun 08 02:47:10 +0000 2025,"President Donald J. Trump Walks Out With @DanaWhite at UFC 316, CROWD ERUPTS WITH ‘USA’ CHANTS 🇺🇸",neutral,0.0
Sun Jun 08 01:52:15 +0000 2025,Insurrection.,neutral,0.0
Sun Jun 08 01:45:51 +0000 2025,"For the far left rioters, some helpful advice; peaceful protest is good. Rioting and obstructing justice is not.",positive,0.8834
Sun Jun 08 01:45:49 +0000 2025,"The president will deploy the national guard to quell these protests, and any person who violates the law or obstructs law enforcement will be aggressively prosecuted.",negative,-0.8442
Sun Jun 08 01:45:48 +0000 2025,"One of the main technical issues in the immigration judicial battles is whether Biden's border crisis counted as an ""invasion.""   So now we have foreign nationals with no legal right to be in the country waving foreign flags and assaulting law enforcement. If only we had a good…",negative,-0.8934
Sun Jun 08 01:18:37 +0000 2025,"In recent days, violent mobs have attacked ICE Officers and Federal Law Enforcement Agents carrying out basic deportation operations in Los Angeles, California.  These operations are essential to halting and reversing the invasion of illegal criminals into the United States.   In…",negative,-0.9081
Sun Jun 08 01:18:31 +0000 2025,Left-wing radicals waving foreign flags are viciously attacking ICE and Border Patrol agents and obstructing official law enforcement activities in Los Angeles.   Democrats refuse to condemn this despicable behavior but this will NOT be tolerated by the Trump Administration.…,negative,-0.6187
Sun Jun 08 01:18:22 +0000 2025,"Just one rock made it through the windshield and caused injury. Imagine if more had followed. This incident is a stark reminder of the real dangers our agents face every day. Thankfully, it wasn’t worse — but it easily could’ve been.",neutral,-0.0129
Sun Jun 08 01:18:15 +0000 2025,"Outside a federal law enforcement building in New York City, more than 150 rioters erupted to interfere with ICE’s immigration enforcement operations.   Thankfully, unlike in Los Angeles, the local police department quickly responded to the riots. So far, NYPD has made five…",negative,-0.128
Sun Jun 08 01:18:11 +0000 2025,Under Biden the American Farmer was neglected.🚜  Democrat congressional leadership failed to advance a Farm Bill. NO MORE - The tide has finally turned.   Under @POTUS Trump’s leadership we’ve crafted ONE BIG BEAUTIFUL BILL for the most American of Industries- Agriculture.🇺🇸,negative,-0.1531
Sun Jun 08 01:18:02 +0000 2025,"The alarming riots in L.A. which have put hundreds of law enforcement officers at risk, are precisely why the Big Beautiful Bill is so important.  This legislation will provide the resources to arrest these criminal illegals and remove them from America’s streets   SUPPORT law…",negative,-0.2502
Sun Jun 08 01:17:56 +0000 2025,"It doesn’t matter if you’re a judge, a member of Congress, or a protestor in Los Angeles:  If you obstruct or assault a law enforcement officer, this Department of Justice will prosecute you.",negative,-0.4588
Sun Jun 08 01:17:52 +0000 2025,"Los Angeles is openly refusing to cooperate with ICE - siding with illegal aliens over American citizens and small businesses.  Therefore, effective immediately, @SBAgov will begin relocating its Regional Office out of L.A.  If a city won’t protect its people, we won’t stay.",negative,-0.1531
Sun Jun 08 01:17:37 +0000 2025,UPDATE: Several arrests have already been made for assault on a federal agent. ANY attack on our agents or officers will not be tolerated. You will be arrested and federally prosecuted.,negative,-0.9382
Sun Jun 08 01:17:26 +0000 2025,"Thank you, @GovBraun, for showing how states can drive real public health reform by supporting local farmers, removing soda from SNAP, and restoring real nutrition in our schools.  I urge governors across the country to follow Indiana’s lead and take decisive action to help Make…",positive,0.8807
Sun Jun 08 01:17:22 +0000 2025,"Congress set aside $42.45 billion for rural broadband in November 2021. More than three years later, not a single person has been connected to the internet under the BEAD program.  Look at Alaska: Washington approved a $33 million grant (plus a required $11 million match) to run…",positive,0.6486
Sun Jun 08 01:17:15 +0000 2025,"A message to the LA rioters: you will not stop us or slow us down. @ICEgov will continue to enforce the law.  And if you lay a hand on a law enforcement officer, you will be prosecuted to the fullest extent of the law.",positive,0.3586
Sun Jun 08 01:17:06 +0000 2025,"President Trump’s One Big Beautiful Bill bolsters American energy security by refilling the Strategic Petroleum Reserve, advancing America’s nuclear capabilities and ensuring the U.S. wins the global race for AI. This bill fulfills the mandate President Trump was given by the…",positive,0.9349
Sun Jun 08 01:16:59 +0000 2025,Working families know that @POTUS is fighting for them—and his policies are already delivering results in communities across the country ⬇️,negative,-0.3612
Sun Jun 08 01:16:52 +0000 2025,The MISSION Act promised to give Veterans the power to choose the health care that’s best for them. We are making sure the @DeptVetAffairs delivers on that promise. @ShawnRyan762 @ShawnRyanShow,positive,0.926
Sun Jun 08 01:16:48 +0000 2025,"The Right to assemble and protest does not include a license to attack law enforcement officers, or to impede and obstruct our lawful immigration operations.  We are thoroughly reviewing the evidence from yesterday’s incident in Los Angeles and we are working with the US…",negative,-0.6249
Sun Jun 08 01:16:47 +0000 2025,We will,neutral,0.0
Sat Jun 07 14:49:25 +0000 2025,"✅ WIN: The One, Big, Beautiful Bill finishes President Trump’s border wall. 🇺🇸",positive,0.8567
Sat Jun 07 14:48:49 +0000 2025,"Vice President Vance on what it's like to be Trump's VP:  “It is my job, obviously, to provide the President honest counsel...he talks to everybody. I think it's why he's in touch with normal people.”",positive,0.7003
Sat Jun 07 14:48:41 +0000 2025,"The @usairforce stands as a formidable force, uniquely equipped to deliver scalable options to our nation’s leaders in both competition &amp; conflict. With unparalleled speed, agility and lethal capability, they are ensuring the execution of rapid responses and decisive victories.",positive,0.1779
Sat Jun 07 14:48:36 +0000 2025,Another week full of Ag-tions!  🇮🇹Visited Rome to advocate for American ag producers 🚨Delivered $1B in livestock disaster aid for drought and wildfires 🥩Invested $14.5M in state meat and poultry inspection 🚫Prosecuted SNAP fraud 🥚Celebrated Egg Day w/ continued drop in…,negative,-0.8832
Sat Jun 07 14:48:32 +0000 2025,"Drones are part of the future of aviation. If we don’t lead the way on this critical tech, adversaries like China will.   Thank you @POTUS for unleashing American innovation in our skies!",positive,0.5052
Sat Jun 07 14:48:15 +0000 2025,"Trails connect us to adventure, exercise, history, natural beauty and each other.   From national recreation trails to historic and scenic trails, public lands offer something for everyone! 🥾  Photo on the Lewis and Clark National Historic Trail in Idaho by Bob Wick",positive,0.8356
Sat Jun 07 00:45:00 +0000 2025,THE TRUMP EFFECT IS REAL  📈 139K Jobs 💰 $2.8T Deficit Cut via Tariffs 📉 Trade Deficit Halved 👮‍♂️ FOP Backs Trump’s Bill 🥚 Eggs Down 61% 🚨 ICE Operation 🎯 Army Hits Goal 🛢️ 13M Acres for Drilling 📞 Calls w/ Putin &amp; Xi 💸 $9.4B DOGE Cuts Proposed  @PressSec’s MAGA Minute ⬇️,negative,-0.836
Fri Jun 06 21:14:19 +0000 2025,President Trump’s economic plan cuts taxes and rebuilds America 🇺🇸  Pro-growth Pro-worker Self-financing,negative,-0.296
Fri Jun 06 20:58:50 +0000 2025,"President Trump honors the anniversary of D-Day in Normandy in 2019. ""They came wave after wave, without question, without hesitation, and without complaint. More powerful than the strength of American arms was the strength of American hearts."" 🇺🇸",positive,0.8145
Fri Jun 06 20:36:17 +0000 2025,"Senators @ChuckGrassley, @MarshaBlackburn, &amp; @JohnCornyn LAY OUT why it’s critical to pass President Trump’s One, Big, Beautiful Bill and send it to his desk:  “The Big, Beautiful Bill is all about making sure we don't have the biggest tax increase in the history of the country.”",positive,0.8779
Fri Jun 06 20:26:20 +0000 2025,John Phelan has officially been sworn in as the Secretary of the Navy by @SecScottBessent in the Oval Office. 🇺🇸🇺🇸,neutral,0.0
Fri Jun 06 20:07:37 +0000 2025,".@AGPamBondi announces Kilmar Abrego Garcia ""has landed in the United States to face justice"" on charges of alien smuggling and conspiracy to commit alien smuggling.  ""Upon completion of his sentence, we anticipate he will be returned to his home country of El Salvador.""",negative,-0.4588
Fri Jun 06 20:07:32 +0000 2025,🚨NEW EO ALERT: 'Flying cars and supersonic flights? Trump turns on boosters for new-age tech',positive,0.4466
Fri Jun 06 18:51:48 +0000 2025,"'I am pleased to announce that Secretary of the Treasury @SecScottBessent, Secretary of Commerce @HowardLutnick, and @USTradeRep, Ambassador Jamieson Greer, will be meeting in London on Monday, June 9, 2025, with Representatives of China...' - President Donald J. Trump",positive,0.5719
Fri Jun 06 18:33:43 +0000 2025,🚨🇺🇸,neutral,0.0
Fri Jun 06 17:17:45 +0000 2025,"Watch every minute of this interview with @StephenM explaining why the One Big, Beautiful Bill must pass 👇🏻",positive,0.5994
Fri Jun 06 17:17:33 +0000 2025,"Iran’s shadow banking system is a critical lifeline for the regime through which it accesses the proceeds from its oil sales, moves money, and funds its destabilizing activities.  Today, the Department of the Treasury’s Office of Foreign Assets Control is designating over 30…",negative,-0.1531
Fri Jun 06 17:17:29 +0000 2025,"Today, the Department of the Treasury’s Office of Foreign Assets Control is designating over 30 individuals and entities tied to Iranian brothers Mansour, Nasser, and Fazlolah Zarringhalam, who have collectively laundered billions of dollars through the international financial…",positive,0.1779
Fri Jun 06 17:17:22 +0000 2025,".@POTUS in Normandy on the 75th anniversary of D-Day, 2019:   ""These men ran through the fires of hell moved by a force no weapon could destroy: the fierce patriotism of a free, proud, and sovereign people. They battled not for control and domination, but for liberty, democracy,…",positive,0.2144
Fri Jun 06 17:17:14 +0000 2025,"This week, @SecretaryBurgum traveled to Alaska to highlight the state’s energy potential and natural beauty. He toured the Trans-Alaska Pipeline, met with Alaska Native leaders, and announced plans to unleash oil and gas development in the National Petroleum Reserve–Alaska.",positive,0.8689
Fri Jun 06 17:17:02 +0000 2025,"In the pre-dawn hours of June 6, 1944, American and Allied forces stormed a 50-mile stretch of beach in Normandy, France, winning a crucial victory that turned the tide of World War II and changed the course of history.  On the 81st anniversary of D-day, we pause to pay homage to…",negative,-0.2263
Fri Jun 06 17:16:57 +0000 2025,"#OTD in 1944, Allied forces stormed the beaches of Normandy in one of history’s most pivotal battles—D-Day. While often overlooked, U.S. Marines played a small but significant role in this historic operation.   Following the attack on Pearl Harbor, many #Marines stationed in…",negative,-0.3182
Fri Jun 06 17:16:54 +0000 2025,Our 250th Birthday Festival and Parade is almost here!  The Festival begins at 9:30 a.m. on the National Mall and ends at 6:00 p.m.   The Grand Military Parade will follow at 6:30 p.m.  We hope to see you there!,positive,0.9167
Fri Jun 06 17:16:50 +0000 2025,"President Trump was elected to make REAL change, and the One Big Beautiful Bill is a major step in making that a REALITY. It will help refill the Strategic Petroleum Reserve to ensure our energy security, includes important permitting reforms for LNG and will help unleash…",positive,0.9451
Fri Jun 06 17:16:44 +0000 2025,"🎧 Listen to the relaxing sounds of the Willamette National Forest in Oregon.   Home to eight wilderness areas, a variety of backpacking and day hiking opportunities, waterfalls, and more!",positive,0.7263
Fri Jun 06 17:16:39 +0000 2025,"My first action as Transportation Secretary was to launch a review of the Biden-Buttigieg fuel economy standards that made it harder to make and buy cars made in America.  Today, @USDOT is pleased to publish the rule explaining what the last administration did broke the law.   It…",neutral,0.0258
Fri Jun 06 17:16:31 +0000 2025,Message from @POTUS on the 81st Anniversary of D-Day,neutral,0.0
Fri Jun 06 17:16:26 +0000 2025,MAKING AMERICA SAFE AGAIN.,positive,0.4404
Fri Jun 06 17:16:16 +0000 2025,"A $4 trillion tax hike next year would devastate American businesses and families. President Trump is committed to preventing that, and over 300 leading economists agree.",negative,-0.1531
Fri Jun 06 17:16:12 +0000 2025,The FBI and @DHSgov have issued a Public Service Announcement to highlight potential public safety concerns related to ongoing threats to Jewish and Israeli communities:,positive,0.34
Fri Jun 06 17:16:08 +0000 2025,"Joe Biden turned the National Petroleum Reserve into his own political petroleum reserve.   Under this administration, we are slashing red-tape to unleash Alaska's abundant resources!",negative,-0.3382
Fri Jun 06 17:16:05 +0000 2025,".@SecScottBessent is right, America’s economy is still going strong.  With steady job growth and low unemployment, @POTUS’ economic plan is delivering for working families.  Let’s keep the momentum going. It’s time to pass the One, Big Beautiful Bill and invest in America’s…",positive,0.7003
Fri Jun 06 17:16:00 +0000 2025,"“Secretary Noem has stopped the bleeding, and new recruits are flooding in, but only Congress can give the service what it needs to shut the cartels down once and for all.” @RogerMarshallMD",negative,-0.1154
Fri Jun 06 17:15:55 +0000 2025,Bad day to be a Panican 😤,negative,-0.5423
Fri Jun 06 17:15:48 +0000 2025,"77 million Americans voted for this kind of transformation and change.  @POTUS’ Big Beautiful Bill will increase wages, increase investment, and let Americans keep more of their hard-earned money.",positive,0.8176
Fri Jun 06 17:15:45 +0000 2025,"Eighty-one years ago, our nation's bravest stormed the beaches of Normandy.   We will never forget their sacrifice.",positive,0.608
Fri Jun 06 17:15:39 +0000 2025,"Today’s employment report underscores the continued strength of the U.S. labor market thanks to @POTUS’ pro-growth economic agenda.  ➡️ 139,000 jobs added in May, exceeding expectations.  ➡️ Unemployment rate held steady at 4.2%.  We have a resilient economy driven by policies…",positive,0.4939
Fri Jun 06 15:37:39 +0000 2025,"Today, we honor the heroes of D-Day—June 6, 1944.  With unmatched courage, American soldiers landed in Normandy, led the charge against tyranny, and changed the course of history.  These patriots’ sacrifice secured freedom for millions. America is forever grateful. 🇺🇸",positive,0.9601
Fri Jun 06 14:58:24 +0000 2025,"Gang members, child predators, and a suspected member of Al-Qaeda — all taken off the streets in recent days by ICE.  77 million Americans voted for this, and the One Big Beautiful Bill will provide the resources to finish the job.",positive,0.4588
Fri Jun 06 14:57:23 +0000 2025,"🚨 THE TRUMP EFFECT: 139,000 jobs added in May, surpassing expectations.   @FoxBusiness: ""We're looking at a market that's really taking off here."" 🔥",neutral,0.0
Fri Jun 06 13:54:12 +0000 2025,AMERICA IS HOT!,neutral,0.0
Fri Jun 06 13:43:33 +0000 2025,"Mr. President, dear Donald, thank you very much for having me. It was a pleasure!",positive,0.8439
Fri Jun 06 13:43:00 +0000 2025,"President Trump’s America First Economic Agenda has created a BOOMING economy — jobs are up, unemployment is down, wages are increasing, and inflation is dead. More than 139,000 good jobs were added to the private sector in May, all accounted for by American-born workers.…",negative,-0.4654
Fri Jun 06 13:32:38 +0000 2025,"I was proud to be up in Alaska earlier this week to help fulfill President Trump’s mission of unleashing Alaska to create a safe, prosperous, and opportunity-filled future.",positive,0.9413
Fri Jun 06 13:27:29 +0000 2025,"✅ WIN: President Trump's One, Big, Beautiful Bill provides HISTORIC tax cuts for seniors.",positive,0.8038
Fri Jun 06 13:13:03 +0000 2025,"For the third month in a row, the jobs report beat expectations, with 139,000 new jobs added in May!   .@POTUS’ America First policies continue to fuel our economic revival and deliver for hardworking families 🇺🇸",neutral,0.0
Fri Jun 06 12:57:01 +0000 2025,"This morning at the World War II Memorial, we pause to honor the courage and sacrifice of those who stormed the beaches of Normandy 81 years ago today.  Photo by Chris Johnson",positive,0.3612
Fri Jun 06 12:51:30 +0000 2025,"On June 6, 1944, Allied forces stormed the beaches of Normandy, France, changing the course of history. Their courage serves as a reminder of the price of freedom. Let us never forget their heroism and sacrifice.",positive,0.7179
Fri Jun 06 12:51:18 +0000 2025,I had the privilege of doing PT at Omaha Beach. Where so many made the ultimate sacrifice for our freedoms.  We will never forget D-DAY.,positive,0.656
Fri Jun 06 11:07:45 +0000 2025,President Trump has done more than any person in my lifetime to earn the trust of the movement he leads. I'm proud to stand beside him.,positive,0.7506
Fri Jun 06 11:07:39 +0000 2025,"More than 80 years later, our nation stands united in honoring the immeasurable service and sacrifice of the brave Allied troops who fought at Normandy, France. We are forever grateful.",positive,0.8807
Fri Jun 06 11:07:00 +0000 2025,"LIVE: @SecDef Pete Hegseth commemorates the 81st anniversary of the D-Day landings by American and Allied troops during a ceremony at Normandy American Cemetery in Colleville-sur-Mer, France.",neutral,0.0
